state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,49.55464309832357,47.37212312194024,0.814565499898011
ANDHRA PRADESH,19.691770533940485,16.33025999349623,0.3434644981280853
ARUNACHAL PRADESH,33.86229675366151,33.68795861543859,0.8544321262487684
ASSAM,33.52135328693732,31.21273082056864,0.5182457697726552
BIHAR,15.503510924293174,13.37619385445521,0.30210891752615865
CHANDIGARH,24.85796408588114,23.926518628353346,0.7332771460408811
CHHATTISGARH,12.276816727636282,10.904263373835567,0.30005126302047536
DADRA & NAGAR HAVELI,35.58784062758051,39.02126723085849,0.7040644694946198
DAMAN & DIU,32.870040784825115,35.09887461536806,0.8474819496757099
GOA,25.98452255323755,26.80562409213169,0.7312864671011704
GUJARAT,31.368957609190613,25.71223892195612,0.4593026145485146
HARYANA,19.09201767148578,15.859122348087936,0.29384486732713044
HIMACHAL PRADESH,13.885859708266214,12.177475641708218,0.3063303266624072
JAMMU & KASHMIR,35.78051405115936,28.995278478266762,0.5370344780696732
JHARKHAND,26.628293685025945,24.28366517271119,0.39186238937144946
KARNATAKA,27.493410089439102,26.243053121548133,0.4939896784434915
KERALA,15.966788649346508,13.899302529212715,0.33620305275112305
LAKSHADWEEP,14.802403163964616,11.703349282296651,0.3795940920126415
MADHYA PRADESH,12.539962319779063,10.950205404886084,0.2975807440528454
MAHARASHTRA,35.33379326799061,31.618782981971773,0.5790307281227037
MANIPUR,28.086051164129223,25.949613606471317,0.5888705069586452
MEGHALAYA,18.791056901849537,18.104927470599442,0.4477884983944802
MIZORAM,25.110788185234608,21.644979303039307,0.385356626625879
NAGALAND,34.67587437259002,35.323681950992444,0.8005179409612367
NCT OF DELHI,33.94719408197722,30.86982244348683,0.5875413796864789
ODISHA,21.244381046774354,18.27060985502321,0.4146233205831582
PUDUCHERRY,28.207330154070704,23.267898565093272,0.35423476537312726
PUNJAB,19.8118032318804,17.58998274784867,0.5688119155843847
RAJASTHAN,10.540008202864184,8.24111506832045,0.2682295505559342
SIKKIM,35.25954127588448,32.58494575784241,0.8832291962482016
TAMIL NADU,26.539198723780178,23.26741981982032,0.346069979454243
TRIPURA,31.176028715689913,26.98843760714538,0.40204741678466105
UTTAR PRADESH,11.258478734454876,8.942479034101423,0.23499790902044113
UTTARAKHAND,16.99633284693582,14.07897999381229,0.270832963936619
WEST BENGAL,14.939389789067823,11.585782275646203,0.2747666636542194
