state/ut,male-percentage,female-percentage,p-value
ANDAMAN & NICOBAR ISLANDS,29.818456063212583,35.261380901468684,0.814565499898011
ANDHRA PRADESH,71.26914364792016,77.71797095164293,0.3434644981280853
ARUNACHAL PRADESH,32.98711886058786,39.15752857132193,0.8544321262487684
ASSAM,49.93925446453807,57.54532598399346,0.5182457697726552
BIHAR,82.60166608088775,85.31091975830817,0.30210891752615865
CHANDIGARH,44.391497305666114,45.86583036182541,0.7332771460408811
CHHATTISGARH,85.81285828334137,87.70008864640812,0.30005126302047536
DADRA & NAGAR HAVELI,41.57153179190751,42.79921840092298,0.7040644694946198
DAMAN & DIU,52.588472465253055,51.18778645665225,0.8474819496757099
GOA,20.531428416808723,25.10922220446063,0.7312864671011704
GUJARAT,52.17802653815694,62.57966925462492,0.4593026145485146
HARYANA,75.85987986128515,80.01374409533558,0.29384486732713044
HIMACHAL PRADESH,80.3563771567774,83.48259644801578,0.3063303266624072
JAMMU & KASHMIR,45.26420709260613,56.81195599121451,0.5370344780696732
JHARKHAND,67.66620113092993,71.81120300334685,0.39186238937144946
KARNATAKA,57.91316770163469,62.76065232283966,0.4939896784434915
KERALA,73.21389130072903,77.72975908541568,0.33620305275112305
LAKSHADWEEP,65.7700087552456,76.98564593301435,0.3795940920126415
MADHYA PRADESH,85.44439418311656,87.62232038535575,0.2975807440528454
MAHARASHTRA,44.997805403617555,53.10492675057342,0.5790307281227037
MANIPUR,47.15039629191442,55.66402391180405,0.5888705069586452
MEGHALAYA,70.4336681342135,74.15421912509143,0.4477884983944802
MIZORAM,68.63825519187378,74.9866664698164,0.385356626625879
NAGALAND,35.40236705447427,40.470491784373486,0.8005179409612367
NCT OF DELHI,57.8021538330756,61.22413425095329,0.5875413796864789
ODISHA,62.9193495647963,71.2965876928913,0.4146233205831582
PUDUCHERRY,65.13009562277249,71.87626880187335,0.35423476537312726
PUNJAB,50.24283332758404,56.11189913089054,0.5688119155843847
RAJASTHAN,87.6517668407443,90.65604483256882,0.2682295505559342
SIKKIM,33.964775435664095,38.90270497761794,0.8832291962482016
TAMIL NADU,69.5585571687401,73.85282951746443,0.346069979454243
TRIPURA,61.93405165238991,69.15313404918254,0.40204741678466105
UTTAR PRADESH,87.26086903672274,89.96798876127744,0.23499790902044113
UTTARAKHAND,80.87182909793796,84.33886987197585,0.270832963936619
WEST BENGAL,81.23793942565821,85.9592559782642,0.2747666636542194
